bankCode,bankName,bankHira,bankKana,bankRoma
0001,みずほ,みずほ,ミズホ,mizuho
0005,三菱ＵＦＪ,みつびしゆ－えふじえい,ミツビシユ－エフジエイ,mitsubishiyu-efujiei
0009,三井住友,みついすみとも,ミツイスミトモ,mitsuisumitomo
0010,りそな,りそな,リソナ,risona
0017,埼玉りそな,さいたまりそな,サイタマリソナ,saitamarisona
0116,北海道,ほつかいどう,ホツカイドウ,hotsukaidou
0122,山形,やまがた,ヤマガタ,yamagata
0125,七十七,しちじゆうしち,シチジユウシチ,shichijiyuushichi
0126,東邦,とうほう,トウホウ,touhou
0128,群馬,ぐんま,グンマ,gumma
0131,筑波,つくば,ツクバ,tsukuba
0135,千葉興業,ちばこうぎよう,チバコウギヨウ,chibakougiyou
0143,八十二,はちじゆうに,ハチジユウニ,hachijiyuuni
0144,北陸,ほくりく,ホクリク,hokuriku
0149,静岡,しずおか,シズオカ,shizuoka
0151,清水,しみず,シミズ,shimizu
0152,大垣共立,おおがききようりつ,オオガキキヨウリツ,oogakikiyouritsu
0161,池田泉州,いけだせんしゆう,イケダセンシユウ,ikedasenshiyuu
0185,鹿児島,かごしま,カゴシマ,kagoshima
0288,三菱ＵＦＪ信託,みつびしＵＦＪしんたく,ミツビシＵＦＪシンタク,mitsubishiufjshintaku
0294,三井住友信託,みついすみともしんたく,ミツイスミトモシンタク,mitsuisumitomoshintaku
0304,野村信託,のむらしんたく,ノムラシンタク,nomurashintaku
0401,シティバンク、エヌ・エイ,していばんく,シテイバンク,shiteibanku
0402,ＪＰモルガン,じえ－ぴ－もるがん,ジエ－ピ－モルガン,jie-pi-morugan
0403,バンク・オブ・アメリカ・エヌ・エイ,あめりか,アメリカ,amerika
0411,香港上海,ほんこんしやんはい,ホンコンシヤンハイ,honkonshiyanhai
0413,スタンダード　チャータード,すたんだ－どちや－た－ど,スタンダ－ドチヤ－タ－ド,sutanda-dochiya-ta-do
0425,兆豊國際商業,ちようほうこくさいしようぎよ,チヨウホウコクサイシヨウギヨ,chiyouhoukokusaishiyougiyo
0426,バンコック,ばんこつく,バンコツク,bankotsuku
0429,バンクネガラインドネシア,ばんくねがらいんどねしあ,バンクネガラインドネシア,bankunegaraindoneshia
0430,ドイツ,どいつ,ドイツ,doitsu
0432,ブラジル,ぶらじる,ブラジル,burajiru
0439,ユービーエス・エイ・ジー,ゆ－び－えすえいじ－,ユ－ビ－エスエイジ－,yu-bi-esueiji-
0442,ニューヨークメロン,にゆ－よ－くめろん,ニユ－ヨ－クメロン,niyu-yo-kumeron
0443,ビー・エヌ・ピー・パリバ,び－えぬぴ－ぱりば,ビ－エヌピ－パリバ,bi-enupi-pariba
0445,ソシエテ　ジェネラル,そしえて　じえねらる,ソシエテ　ジエネラル,soshiete　jieneraru
0461,コメルツ,こめるつ,コメルツ,komerutsu
0471,カナダロイヤル,かなだろいやる,カナダロイヤル,kanadaroiyaru
0489,中國,ちゆうごく,チユウゴク,chiyuugoku
0495,ステート・ストリート,すて－と．すとり－と,ステ－ト．ストリ－ト,sute-to.sutori-to
0498,中小企業,ちゆうしようきぎよう,チユウシヨウキギヨウ,chiyuushiyoukigiyou
0607,彰化商業,しようかしようぎよう,シヨウカシヨウギヨウ,shiyoukashiyougiyou
0608,ウェルズ・ファーゴ,うえるず．ふあ－ご,ウエルズ．フア－ゴ,ueruzu.fua-go
0615,交通,こうつう,コウツウ,koutsuu
0619,中国工商,ちゆうごくこうしよう,チユウゴクコウシヨウ,chiyuugokukoushiyou
0621,中國信託商業,ちゆうごくしんたくしようぎ,チユウゴクシンタクシヨウギ,chiyuugokushintakushiyougi
0623,インテーザ・サンパオロ,いんて－ざ．さんぱおろ,インテ－ザ．サンパオロ,inte-za.sampaoro
0624,國民,こくみん,コクミン,kokumin
0625,中国建設,ちゆうごくけんせつ,チユウゴクケンセツ,chiyuugokukensetsu
0630,中国農業,ちゆうごくのうぎよう,チユウゴクノウギヨウ,chiyuugokunougiyou
0514,大東,だいとう,ダイトウ,daitou
0526,東京スター,とうきようすた－,トウキヨウスタ－,toukiyousuta-
0544,中京,ちゆうきよう,チユウキヨウ,chiyuukiyou
0562,みなと,みなと,ミナト,minato
0324,日本カストディ,にほんかすとでい,ニホンカストデイ,nihonkasutodei
0398,あおぞら,あおぞら,アオゾラ,aozora
0472,ＳＢＪ,えすび－じえ－,エスビ－ジエ－,esubi-jie-
1000,信金中央金庫,しんきんちゆうおうきんこ,シンキンチユウオウキンコ,shinkinchiyuuoukinko
1344,城南信金,じようなんしんきん,ジヨウナンシンキン,jiyounanshinkin
1688,尼崎信金,あまがさきしんきん,アマガサキシンキン,amagasakishinkin
2004,商工中金,しようこうちゆうきん,シヨウコウチユウキン,shiyoukouchiyuukin
2010,全信組連,ぜんしんくみれん,ゼンシンクミレン,zenshinkumiren
3000,農林中金,のうりんちゆうきん,ノウリンチユウキン,nourinchiyuukin
