branchBankCode,branchCode,branchName,branchHira,branchKana,branchRoma
0001,001,東京営業部,とうきよう,トウキヨウ,toukiyou
0001,004,丸の内中央,まるのうちちゆうおう,マルノウチチユウオウ,marunouchichiyuuou
0001,005,丸之内,まるのうち,マルノウチ,marunouchi
0001,009,神田駅前,かんだえきまえ,カンダエキマエ,kandaekimae
0001,013,町村会館出張所,ちようそんかいかん,チヨウソンカイカン,chiyousonkaikan
0001,015,築地,つきぢ,ツキヂ,tsukidi
0001,019,確定拠出年金,かくていきよしゆつねんきん,カクテイキヨシユツネンキン,kakuteikiyoshiyutsunenkin
0001,020,押上,おしあげ,オシアゲ,oshiage
0001,021,麹町,こうじまち,コウジマチ,koujimachi
0001,022,浅草橋,あさくさばし,アサクサバシ,asakusabashi
0001,024,京橋,きようばし,キヨウバシ,kiyoubashi
0001,026,八重洲口,やえすぐち,ヤエスグチ,yaesuguchi
0001,027,兜町,かぶとちよう,カブトチヨウ,kabutochiyou
0001,028,銀座通,ぎんざどおり,ギンザドオリ,ginzadoori
0001,035,銀座,ぎんざ,ギンザ,ginza
0001,036,四谷,よつや,ヨツヤ,yotsuya
0001,038,日本橋,にほんばし,ニホンバシ,nihombashi
0001,040,横山町,よこやまちよう,ヨコヤマチヨウ,yokoyamachiyou
0001,044,白金出張所,しろがね,シロガネ,shirogane
0001,046,虎ノ門,とらのもん,トラノモン,toranomon
0001,050,本所,ほんじよ,ホンジヨ,honjiyo
0001,051,新橋中央,しんばしちゆうおう,シンバシチユウオウ,shimbashichiyuuou
0001,053,六本木,ろつぽんぎ,ロツポンギ,rotsupongi
0001,054,芝,しば,シバ,shiba
0001,057,広尾,ひろお,ヒロオ,hiroo
0001,061,飯田橋,いいだばし,イイダバシ,iidabashi
0001,064,高田馬場,たかたのばば,タカタノババ,takatanobaba
0001,066,新宿中央,しんじゆくちゆうおう,シンジユクチユウオウ,shinjiyukuchiyuuou
0001,068,早稲田,わせだ,ワセダ,waseda
0001,069,新宿南口,しんじゆくみなみぐち,シンジユクミナミグチ,shinjiyukuminamiguchi
0001,075,本郷,ほんごう,ホンゴウ,hongou
0001,078,東京法人営業部,とうきようほうじん,トウキヨウホウジン,toukiyouhoujin
0001,080,大阪法人,おおさかほうじん,オオサカホウジン,oosakahoujin
0001,081,神戸法人,こうべほうじん,コウベホウジン,koubehoujin
0001,082,名古屋法人,なごやほうじん,ナゴヤホウジン,nagoyahoujin
0001,083,福岡法人,ふくおかほうじん,フクオカホウジン,fukuokahoujin
0001,084,仙台法人,せんだいほうじん,センダイホウジン,sendaihoujin
0001,085,富山法人,とやまほうじん,トヤマホウジン,toyamahoujin
0001,086,広島法人,ひろしまほうじん,ヒロシマホウジン,hiroshimahoujin
0001,087,札幌法人,さつぽろほうじん,サツポロホウジン,satsuporohoujin
0001,088,高松法人,たかまつほうじん,タカマツホウジン,takamatsuhoujin
0001,090,稲荷町,いなりちよう,イナリチヨウ,inarichiyou
0001,091,横浜法人,よこはまほうじん,ヨコハマホウジン,yokohamahoujin
0001,092,京都法人,きようとほうじん,キヨウトホウジン,kiyoutohoujin
0001,093,新宿法人,しんじゆくほうじん,シンジユクホウジン,shinjiyukuhoujin
0001,096,浜松法人,はままつほうじん,ハママツホウジン,hamamatsuhoujin
0001,100,本店,ほんてん,ホンテン,honten
0001,105,小舟町,こぶなちよう,コブナチヨウ,kobunachiyou
0001,107,上野,うえの,ウエノ,ueno
0001,108,神田,かんだ,カンダ,kanda
0001,110,東京中央,とうきようちゆうおう,トウキヨウチユウオウ,toukiyouchiyuuou
0001,111,内幸町営業部,うちさいわいちよう,ウチサイワイチヨウ,uchisaiwaichiyou
0001,112,大手町営業部,おおてまち,オオテマチ,ootemachi
0001,113,兜町証券営業部,かぶとちようしようけん,カブトチヨウシヨウケン,kabutochiyoushiyouken
0001,114,小金井,こがねい,コガネイ,koganei
0001,116,町田,まちだ,マチダ,machida
0001,120,五反田,ごたんだ,ゴタンダ,gotanda
0001,121,大井町,おおいまち,オオイマチ,ooimachi
0001,123,戸越,とごし,トゴシ,togoshi
0001,125,銀座中央,ぎんざちゆうおう,ギンザチユウオウ,ginzachiyuuou
0001,127,新川,しんかわ,シンカワ,shinkawa
0001,128,府中,ふちゆう,フチユウ,fuchiyuu
0001,130,新橋,しんばし,シンバシ,shimbashi
0001,132,中目黒,なかめぐろ,ナカメグロ,nakameguro
0001,133,都立大学駅前,とりつだいがくえきまえ,トリツダイガクエキマエ,toritsudaigakuekimae
0001,143,羽田,はねだ,ハネダ,haneda
0001,145,大岡山,おおおかやま,オオオカヤマ,oookayama
0001,146,神谷町,かみやちよう,カミヤチヨウ,kamiyachiyou
0001,148,浜松町,はままつちよう,ハママツチヨウ,hamamatsuchiyou
0001,151,十二号,じゆうにごう,ジユウニゴウ,jiyuunigou
0001,152,十四号,じゆうよんごう,ジユウヨンゴウ,jiyuuyongou
0001,153,十五号,じゆうごごう,ジユウゴゴウ,jiyuugogou
0001,154,日産,につさん,ニツサン,nitsusan
0001,156,三号,さんごう,サンゴウ,sangou
0001,157,五号,ごごう,ゴゴウ,gogou
0001,159,七号,ななごう,ナナゴウ,nanagou
0001,160,三ノ輪,みのわ,ミノワ,minowa
0001,161,笹塚,ささづか,ササヅカ,sasaduka
0001,162,渋谷中央,しぶやちゆうおう,シブヤチユウオウ,shibuyachiyuuou
0001,163,八号,はちごう,ハチゴウ,hachigou
0001,165,放送センター出張所,ほうそうせんた－,ホウソウセンタ－,housousenta-
0001,166,板橋,いたばし,イタバシ,itabashi
0001,168,ジャックス,じやつくす,ジヤツクス,jiyatsukusu
0001,169,蓮根,はすね,ハスネ,hasune
0001,170,沼袋,ぬまぶくろ,ヌマブクロ,numabukuro
0001,172,鷺宮,さぎのみや,サギノミヤ,saginomiya
0001,174,中野坂上,なかのさかうえ,ナカノサカウエ,nakanosakaue
0001,175,亀戸,かめいど,カメイド,kameido
0001,176,葛飾,かつしか,カツシカ,katsushika
0001,177,小松川,こまつがわ,コマツガワ,komatsugawa
0001,178,亀有,かめあり,カメアリ,kameari
0001,179,綾瀬,あやせ,アヤセ,ayase
